Date,Supplier,Order No.,Ref. No.,Due Date,Branch,Requisition Type,Item Ledger Group,Item Description,Min Qty,Max Qty,Unit,Rate,Delivery Date,CGST %,SGST %,IGST %,VAT %,Last Approved Rate,Last Supplier,Broker,Total Amount,Status,Delivery Type,Open PO,Open PO No.
02/11/2025,Fujian Uptop Trading Co. Ltd,PO-2025-001,REF-001,15/11/2025,Branch A,Standard,Raw Materials,Cotton Fabric Rolls - White,100,150,Meters,450,15/11/2025,9,9,0,0,420,Previous Supplier Co.,Broker A,75600,pending,Express,,
02/11/2025,,PO-2025-001,REF-001,15/11/2025,Branch A,Standard,Raw Materials,Polyester Thread - Black,50,75,Spools,120,15/11/2025,9,9,0,0,110,Same Supplier,Broker A,10080,pending,Standard,,
02/11/2025,ZIPPY & WHIZ,PO-2025-002,REF-002,20/11/2025,Branch B,Urgent,Accessories,Metal Zippers - 12 inch,200,300,Pieces,25,18/11/2025,9,9,0,0,22,ZIPPY & WHIZ,Broker B,8400,pending,Express,,
02/11/2025,,PO-2025-002,REF-002,20/11/2025,Branch B,Urgent,Accessories,Plastic Buttons - 15mm,500,800,Pieces,5,18/11/2025,9,9,0,0,4.5,Another Supplier,Broker B,4200,pending,Standard,,
03/11/2025,Foshan Quanyi Mechanical & Electrical Co. Ltd,PO-2025-003,REF-003,25/11/2025,Branch C,Standard,Machinery,Industrial Sewing Machine,2,3,Units,85000,25/11/2025,9,9,0,0,82000,Equipment Suppliers Inc,Broker C,300600,pending,Freight,,
03/11/2025,,PO-2025-003,REF-003,25/11/2025,Branch C,Standard,Machinery,Overlock Machine,1,2,Units,45000,25/11/2025,9,9,0,0,43000,Equipment Suppliers Inc,Broker C,53100,pending,Freight,,
03/11/2025,Sanwang Colour Company Limited,PO-2025-004,REF-004,12/11/2025,Branch A,Standard,Chemicals,Reactive Dye - Blue,25,40,Kg,850,12/11/2025,9,9,0,0,820,Dye House Ltd,Broker A,37740,pending,Standard,,
03/11/2025,,PO-2025-004,REF-004,12/11/2025,Branch A,Standard,Chemicals,Reactive Dye - Red,25,40,Kg,850,12/11/2025,9,9,0,0,820,Dye House Ltd,Broker A,37740,pending,Standard,,
04/11/2025,Yiwu Gazirobut Garment Co. Ltd,PO-2025-005,REF-005,18/11/2025,Branch D,Standard,Finished Goods,T-Shirts - Medium Size,500,1000,Pieces,250,18/11/2025,9,9,0,0,240,Garment Factory A,Broker D,295000,pending,Standard,,
04/11/2025,MUSA-ALI SEWING CENTER MACHINES & EQUIPMENTS,PO-2025-006,REF-006,30/11/2025,Branch B,Standard,Machinery Parts,Sewing Machine Needles,1000,1500,Pieces,15,28/11/2025,9,9,0,0,14,Parts Supplier Co,Broker B,21150,pending,Standard,,
05/11/2025,Yantai WBE per Mold. Co-YoungmaoBd Service Co., Ltd,PO-2025-007,REF-007,22/11/2025,Branch E,Standard,Packaging,Cardboard Boxes - Large,300,500,Pieces,180,22/11/2025,9,9,0,0,175,Box Manufacturers,Broker E,106200,pending,Freight,,
05/11/2025,nt BandarChala Industrial Area,PO-2025-008,REF-008,14/11/2025,Branch F,Urgent,Raw Materials,Denim Fabric - Dark Blue,200,300,Meters,680,14/11/2025,9,9,0,0,650,Fabric Traders Ltd,Broker F,240240,pending,Express,,
06/11/2025,Plant Steeple,PO-2025-009,REF-009,28/11/2025,Branch A,Standard,Tools,Cutting Scissors - Industrial,50,75,Pieces,450,26/11/2025,9,9,0,0,430,Tool Suppliers Inc,Broker A,39825,pending,Standard,,
06/11/2025,essories Ltd.,PO-2025-010,REF-010,16/11/2025,Branch G,Standard,Accessories,Elastic Bands - 25mm,1000,1500,Meters,12,16/11/2025,9,9,0,0,11,Elastic Co,Broker G,21240,pending,Standard,,
07/11/2025,sh Hatchery da,PO-2025-011,REF-011,20/11/2025,Branch H,Standard,Raw Materials,Silk Fabric - White,80,120,Meters,1200,20/11/2025,9,9,0,0,1150,Premium Fabrics Ltd,Broker H,169920,pending,Express,,
07/11/2025,rt RPL Breede.,PO-2025-012,REF-012,25/11/2025,Branch B,Standard,Chemicals,Fabric Softener,100,150,Liters,85,25/11/2025,9,9,0,0,80,Chemical Suppliers,Broker B,15045,pending,Standard,,
08/11/2025,Fujian Uptop Trading Co. Ltd,PO-2025-013,REF-013,18/11/2025,Branch C,Standard,Raw Materials,Wool Blend Fabric,60,90,Meters,980,18/11/2025,9,9,0,0,950,Wool Traders,Broker C,104076,pending,Standard,,
08/11/2025,,PO-2025-013,REF-013,18/11/2025,Branch C,Standard,Raw Materials,Linen Fabric - Natural,40,60,Meters,750,18/11/2025,9,9,0,0,720,Same Supplier,Broker C,42300,pending,Standard,,
